zcr,spectral_c,rolloff,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
60546,2078.055423580924,4496.092843677494,-142.40489,116.13788,2.2472293,31.061197,6.1861997,0.12031545,0.31996912,7.791392,3.2471306,-3.0152287,1.7092857,0.73611957,0.14306961,-4.420224,-4.4710884,0.50914866,1.2237266,-0.15977222,-2.6168976,-4.443207,rock
35337,1721.1466518107272,3811.3186652588456,-144.9571,118.46496,20.525068,28.564394,2.3535552,10.069561,11.917599,4.8517795,-0.08492761,3.2985027,3.414399,3.6505976,5.3643227,2.2568207,1.8704137,0.86951476,-1.1844798,0.809846,1.8097507,1.7877816,rock
80138,3031.1276858179062,6732.748151102088,-66.28536,66.77525,25.18438,26.29693,5.29162,10.455606,2.4704697,0.75241023,-0.37136135,1.7261295,3.2138004,5.0352135,-1.9417019,-3.0782735,0.3791482,-0.7798833,3.7139435,2.3967679,0.19798733,-1.7008979,rock
58683,2186.669240863217,4462.893740483613,-181.2304,103.43169,9.386158,19.07884,13.772365,-0.52121794,4.3893824,-7.6141825,-8.117306,-0.13711439,-5.1818705,-6.306278,-5.451936,-5.9776015,-1.1736681,-2.6703749,-5.186531,-5.2856364,-5.795397,-3.7094035,rock
124291,3361.7679740670487,6920.343484900667,4.0827875,52.608704,-11.054908,19.704363,11.284098,7.05907,5.062799,4.561673,0.02562418,5.1544223,3.4035952,1.1689492,0.5820397,1.2743223,0.714491,-0.8116799,-3.014231,-1.716999,-1.6961086,-1.2938507,rock
87744,2632.2720334613155,5309.982972465922,-156.28606,75.62815,-16.517864,16.340904,5.8017077,6.009819,-4.145812,-3.7635734,-6.16873,-8.928002,-4.1010733,-2.2070172,-4.650857,-5.4203176,-4.6888046,-7.0807443,-3.8854387,1.3862368,-2.0016851,-4.7174654,rock
44147,1712.2893711073168,3618.4024819641822,-91.91241,129.96863,1.8372804,11.621115,3.2257633,-1.9720751,-2.2193565,-0.85540605,-4.3434763,-3.5430148,-1.5521152,-0.54191816,0.4020132,-1.6473914,-4.5720263,-2.96968,-4.286571,-2.6720417,-3.5486424,-1.4414598,rock
117643,3303.2031121942023,6717.260232381091,-7.8688965,59.537727,3.64771,28.984354,4.1384044,10.26854,2.5587142,7.6040683,-1.399824,2.9641616,4.0499907,-0.75281405,1.0675514,-3.0407865,-1.0089142,-0.6948098,-0.68626606,1.5193397,-0.4616992,0.5018842,rock
116015,3488.5019911787995,7659.9582185324825,-58.583794,64.91177,15.929983,5.4289036,7.5244966,9.883128,1.5946642,5.3538227,-1.2404982,-2.0384183,2.4422328,-0.7197206,-0.30926552,-1.4839802,3.290024,3.6443794,-2.5047874,-1.1560521,-2.3028479,-2.2165213,rock
65595,2438.175192910581,5499.360249601218,-142.00829,96.975395,23.25415,10.455744,6.293647,4.963418,1.0708207,1.1035851,-4.8490777,0.8722023,-3.44915,-2.0109098,-5.9014354,-6.031104,-2.1139178,-6.1682496,-0.30380744,5.0942173,0.12770645,1.6715823,rock
57340,2424.5196987393947,5644.705207275957,-219.1163,94.37081,42.78751,16.115028,9.503607,12.890873,7.7313557,2.3898096,-1.0204223,-1.953544,-1.9855666,3.1467826,-0.88252664,-6.855735,-5.073762,-4.0232706,-5.60394,-4.9950747,-2.5028176,-4.27858,rock
89255,2796.5844364197355,6203.061330843968,-82.69719,83.516884,-0.5975728,10.497101,10.424636,7.0697875,5.07857,0.07893479,-0.20585676,-0.9349145,-0.09674311,-1.7009901,-1.0193595,0.17545809,2.3960109,-0.44936863,0.8513324,-1.857309,-4.5129642,-3.1955388,rock
45751,2072.1545181474407,4688.517743528857,-193.64023,98.43583,44.057926,23.775482,12.580539,8.4607725,2.1690936,-0.34457627,-8.183045,-9.117337,-5.237825,-4.8426147,-1.3743817,-1.2646358,3.216643,3.6884453,1.3845584,2.7153342,1.7022022,-1.7910893,rock
71911,2946.6326070961836,6983.236092481148,-212.2839,65.78227,45.207645,19.728804,11.81109,8.058759,4.425894,4.215401,-2.3198674,-2.2011733,-1.6351123,-4.6608105,-3.7225633,-6.775609,-2.9975386,-6.5122967,-10.916957,-3.3977468,-1.2068572,-3.1102462,rock
37027,1711.1692943047158,3491.7013146207946,-302.8243,116.21838,44.6891,25.962639,18.715103,7.5668535,7.3339343,4.0336523,-4.1819897,0.8796674,0.95483494,2.8209012,1.4063516,-3.4743688,-0.8914467,0.59212136,-0.8123583,-2.380754,0.36877894,-1.8517039,rock
70502,2181.338268112923,4689.725135042054,-118.8025,104.436676,-29.188753,42.102615,-13.299715,29.062935,-20.866318,21.608942,-24.331242,10.7288265,-15.099055,5.9375844,-11.788948,-0.9074686,-11.01456,-0.19940795,-6.906149,-1.2978159,-6.3202825,-2.6999989,rock
85550,2294.229735197606,4730.226875181264,-95.25766,103.813416,-37.01362,52.685883,-20.752981,27.573769,-17.5265,24.807493,-11.295161,16.644753,-9.246779,10.183925,-8.78414,1.8383002,-3.9530869,2.1714826,-6.69774,5.1020174,-9.701118,-3.960038,rock
71022,2209.486739594417,4575.022941288428,-245.10092,95.093445,-21.263948,45.649635,-3.5521014,14.97044,-20.681795,19.520777,-21.715769,7.3187175,-9.291167,0.81458414,-13.00813,0.062346682,-8.231255,1.058531,-8.031603,-0.39880127,-4.3575134,-4.222828,rock
79445,2414.161864863233,5213.041924213312,-123.67157,94.753395,-9.5527525,53.26699,-13.762559,17.746737,-19.215258,25.295883,-18.705511,15.396704,-12.512174,9.378816,-11.606869,0.66548324,-6.9870534,3.364005,-7.142924,0.5123948,-8.73698,-1.4573003,rock
78385,2467.2607803727697,5402.8105627356435,-121.12452,91.73827,-14.719739,52.961185,-11.417393,31.010504,-17.489897,24.197327,-24.775946,17.118109,-15.880233,10.380571,-8.630905,7.14643,-11.839626,3.169746,-10.362881,1.5105858,-10.358376,-2.4793758,rock
91196,2568.395445450852,5364.140726961282,-203.34494,85.4117,-11.576987,54.754364,-11.617434,20.56847,-27.760782,18.873287,-31.642633,10.700183,-11.927795,4.132147,-3.9985468,1.7360578,-7.907964,4.3033795,-11.239042,-1.1848902,-5.032739,-2.3639996,rock
92194,2511.7143061599827,5129.615334070476,-202.22343,75.23143,-14.236298,66.306335,-8.287852,24.383793,-16.236677,17.128633,-21.286032,3.9629781,-19.76039,0.48267353,-4.509064,-5.366474,-8.966871,-0.041333687,-8.02467,-0.5166389,-6.7963386,-8.444971,rock
60185,2025.0641304683293,4570.99275168576,-79.81995,109.93669,-17.13555,47.21409,-11.933717,33.32855,-11.712043,23.636423,-13.6773205,18.445545,-6.9493895,13.0382805,-11.589943,9.098724,-5.9574623,4.9145265,-8.714125,3.7107124,-5.1020746,2.6278586,rock
54140,1933.3373458580052,4359.765851580626,-95.375534,112.45124,-2.0774407,47.046688,-10.369908,29.785519,-15.113547,20.186108,-12.673779,16.497211,-7.8592286,11.876695,-11.1869955,8.866213,-4.952222,0.9222928,-6.1117043,3.2416008,-8.060127,0.7370047,rock
72903,2223.9691765083976,4917.48080862094,-61.69562,103.5662,-16.91641,49.247673,-14.815667,31.691504,-17.215197,24.615047,-14.486075,18.019432,-11.67271,11.470351,-9.824015,8.85506,-8.564864,4.40887,-8.275844,1.5914817,-7.034197,-0.8262322,rock
60402,2140.2830872814766,4831.456245015226,-83.36812,103.90498,-13.954147,56.912594,-14.43371,32.197018,-14.136274,19.167461,-9.342846,13.166685,-11.730691,8.401819,-9.400615,10.225259,-4.2135806,5.6282663,-6.3784084,1.8044477,-5.5764384,-0.44022372,rock
73898,2301.7700382014727,5092.044640915024,-113.657845,94.94122,-4.128477,51.786396,-13.776981,34.347263,-17.60313,22.537716,-12.411016,17.204842,-9.231343,9.97735,-13.473844,7.5857787,-7.2646394,3.645773,-8.463105,0.39540547,-9.240809,-0.28658107,rock
47170,1659.5913676445532,3580.332178527407,-132.39337,124.67918,-9.69277,46.452026,-6.3060913,30.534199,-11.145722,20.404236,-11.221901,9.368879,-5.829724,7.8187475,-8.726418,5.618452,-4.086974,-0.63233453,-8.114819,-0.6764859,-7.606043,-0.21058923,rock
70394,2187.9366586123824,4993.8046059309745,-103.96426,101.90469,-10.340273,43.67058,-11.510563,26.94337,-9.995867,25.0187,-14.213517,19.713219,-10.531307,12.673635,-12.690149,6.8567877,-6.0864043,5.4609747,-6.2438927,-1.4577036,-8.2451515,-3.2739832,rock
47526,1877.968347028061,4285.498783262036,-130.98306,111.02361,-2.1509995,41.78348,-3.2020328,34.655052,-17.60973,19.878576,-9.146213,14.884945,-6.8465424,9.2045965,-6.9707727,6.3224635,-9.627941,0.5147618,-12.772728,-4.8808675,-2.5171673,-3.1253643,rock
72309,2148.4009184905804,4479.280957710992,-91.39275,112.11608,-27.345358,47.978413,-19.601683,27.71872,-18.550968,17.433367,-13.161514,14.41955,-15.218308,11.52615,-12.587086,0.904855,-10.441168,-0.611863,-13.481617,3.3057272,-3.7086513,1.0857344,rock
99207,2606.2611467109623,5339.318422817575,-87.96438,93.53565,-23.224026,48.123466,-21.444712,27.754807,-20.335535,18.751484,-15.218708,16.133469,-21.41218,10.867749,-12.026507,5.1234984,-7.3036647,4.6613207,-10.165855,5.499814,-4.3694463,0.312265,rock
90211,2553.6435086620068,5123.536742314385,-121.46697,89.52725,-33.490353,41.959053,-25.940279,23.04037,-20.253145,14.365855,-16.338194,17.046362,-16.961536,9.144576,-10.106951,4.2052097,-9.360472,1.6120547,-10.548402,1.0753498,-1.6400307,7.538744,rock
121755,2975.773811562643,5926.5353669699825,-95.44648,78.33685,-26.221182,44.241337,-22.469748,29.748888,-21.57327,23.954361,-16.577047,20.47198,-19.63077,13.887503,-12.625713,6.2481356,-7.6665807,7.4061184,-9.415544,9.65207,-3.7834237,1.066947,rock
61498,2116.1456024268386,4689.983267020737,-119.15098,107.44224,-10.973197,58.555363,-12.933258,26.83433,-17.646807,19.371737,-15.605269,13.570684,-16.67104,11.870044,-12.196166,5.2358336,-6.1746464,4.25262,-8.040415,3.526596,-7.6858068,-1.3395648,rock
92292,2581.5076042919945,5390.361939892691,-94.26873,91.89087,-17.601385,45.527336,-15.701893,32.63561,-18.013712,21.570967,-15.723526,16.806913,-18.290829,13.340856,-15.457929,5.2054644,-11.220915,6.2067647,-7.958713,7.710797,-4.605025,0.53535736,rock
80163,2255.8673983144336,4508.88286687935,-185.50003,98.92578,-36.44288,44.42754,-17.75983,21.28436,-20.293684,13.771661,-15.498616,11.033225,-16.787758,2.3346393,-12.634642,0.15081415,-4.4001217,-2.4655702,-8.966495,6.8722253,-6.6973553,-1.2077816,rock
96934,2521.2256238471828,4830.540292832801,-160.15704,88.74145,-35.476883,47.4943,-12.60362,17.301561,-19.144144,14.595069,-20.387825,11.093687,-11.144935,7.69911,-9.863814,6.9854503,-10.138801,3.0738516,-7.9530306,0.69746596,-4.926306,-2.608306,rock
85188,2334.519061160983,4819.107544228538,-42.662823,102.988686,-36.8779,44.5166,-11.9962015,25.576914,-22.668953,28.336857,-19.271856,21.482964,-15.258891,11.748107,-11.575924,4.7860646,-13.024809,4.361161,-11.952075,0.89715636,-0.47479376,1.299921,rock
107163,2590.7815234504446,4889.452671838747,-117.97405,84.0584,-50.26788,46.049637,-17.698416,20.855793,-21.641117,16.67161,-12.952743,12.837912,-13.080166,11.31062,-12.596915,4.381586,-12.073298,0.6698691,-6.7976236,4.458886,0.24022464,0.44193247,rock
48539,1609.7586945758158,3380.4464318082946,-156.29813,130.7896,-25.229616,43.48547,-12.138994,25.392202,-7.9401674,17.616287,-8.628423,9.566106,-8.367282,5.763708,-7.0483007,-1.8863184,-7.683533,3.004139,-6.433903,-1.3064599,-7.830779,-4.146004,rock
79954,2495.684156021748,5213.03359737529,-89.01616,86.21833,-24.412222,47.093178,-33.65718,29.464834,-19.750496,21.63578,-16.74669,6.53877,-13.391208,7.4855866,-12.85139,8.587704,-7.8912563,11.497619,0.67780876,9.797574,-2.1274855,0.5861891,rock
99490,2474.4653495906973,4754.649491099913,-74.30769,100.11084,-47.357513,49.609303,-18.405361,24.60919,-15.910987,23.892094,-22.828266,23.324926,-16.943434,14.924825,-11.49566,4.220348,-13.625411,4.4772468,-11.660445,4.3243303,-10.592983,-0.8472349,rock
100049,2471.4537520158965,4687.268717825551,-70.11194,94.16672,-50.33251,46.95689,-16.10815,19.98747,-23.955923,16.344193,-22.179579,14.427519,-20.087427,12.139044,-14.773107,4.9046216,-13.62448,0.82260984,-15.060139,-1.61155,-16.089869,-2.1866071,rock
65143,1939.722261427516,3748.5176528966067,-114.78572,119.293335,-50.734497,42.62416,-6.7016063,19.707987,-16.883589,19.394009,-17.410425,17.302908,-10.872791,6.657836,-15.7666645,3.5462644,-7.765785,3.3836036,-7.6936946,1.611691,-10.708937,-0.54198456,rock
97179,2628.9166255228897,5085.982702834976,-90.24029,80.06857,-46.36335,56.045547,-8.092648,27.477394,-17.326693,22.967056,-17.591236,18.405153,-17.44015,7.6492333,-19.298676,1.1883795,-14.477152,4.513636,-12.766622,2.9947731,-6.4113603,2.2570848,rock
59125,2008.1745206409444,4253.6236473136605,-153.63005,109.904785,-23.091646,59.0145,-7.5204816,19.72855,-16.488035,18.078283,-22.212603,15.408715,-12.378634,12.347538,-12.310062,5.7802954,-10.265627,1.8031518,-13.29347,2.4838254,-6.716792,-1.1984035,rock
64738,2006.8272649211463,4149.1717911651685,-142.41621,116.20546,-32.160263,49.11151,-8.389906,22.885155,-18.317211,20.110556,-22.102663,10.792425,-12.998068,14.083412,-16.392958,4.1628456,-4.3739843,3.7363334,-10.860102,1.8778214,-7.4682636,-2.791855,rock
80748,2077.5658220829505,4031.530223589762,-124.989655,115.18234,-47.985886,52.820343,-13.493603,21.751259,-12.417659,20.127153,-18.373245,10.1236315,-16.045313,10.477311,-17.95571,1.2151546,-11.5279045,1.8380666,-12.851803,3.4456992,-12.589926,-2.104325,rock
32293,1398.649504763717,3015.5976970345127,-225.03336,123.657265,-9.745124,56.613846,10.421821,20.64321,-10.258778,15.571303,-8.24035,12.808757,-9.006475,7.6886306,-10.083799,-0.25227857,-5.282494,-2.810897,-4.421513,1.5583625,-5.0460773,-3.587599,rock
50575,1609.7851808042763,3246.925584124855,-235.20059,123.87175,-22.546131,52.951675,-1.4538206,24.660511,-7.088474,14.8901,-12.783066,16.718231,-2.9434726,10.081299,-15.028531,3.1190753,-7.1235514,1.7955873,-7.077187,0.023404362,-2.0338798,1.1501082,rock
